ID,score
15384,-6.132152080535889
55348,-6.242465019226074
118545,-3.3228888511657715
95813,-6.130819320678711
115919,-5.83824348449707
2585,-0.6048223376274109
35280,5.918069839477539
82358,-5.558526515960693
85503,-6.063154220581055
102071,-5.81540584564209
81270,-6.164609909057617
73500,6.242626190185547
20106,-6.118772506713867
67983,-6.131000518798828
28331,-3.6914563179016113
23432,-4.744474411010742
32403,-5.748011589050293
132908,-4.383586883544922
47428,-5.969303607940674
16465,-5.37898063659668
137478,6.300550937652588
125228,6.16755485534668
1632,-4.03396463394165
30071,-2.503225803375244
10138,-5.921932220458984
59365,-1.4534785747528076
50897,-2.4108619689941406
62663,-2.394195556640625
17894,-5.548626899719238
110928,-5.759733200073242
108754,-6.044657707214356
35359,-6.257538795471191
93178,-6.292708396911621
46325,5.820247173309326
123546,-6.111789703369141
75887,-3.980342388153076
109996,-6.138535022735596
59706,-5.740534782409668
103470,-5.601894378662109
42674,-5.885778427124023
26719,-1.5068690776824951
79350,-6.067780494689941
4581,-6.313060760498047
41688,2.216366767883301
74466,-5.702284812927246
82164,-6.360599517822266
26959,-6.150257110595703
10785,-6.044668197631836
97163,-6.243343353271484
100390,-6.111865043640137
42615,-2.386881113052368
100118,-6.299699783325195
48361,-2.02400541305542
85297,-5.865662574768066
86516,-6.229362487792969
92613,-5.61069917678833
80414,-6.126364231109619
133166,-6.120547294616699
46733,4.537238121032715
61110,-3.1714541912078857
31910,5.505217552185059
117646,-6.259183406829834
113750,-3.15159010887146
107883,-5.559764862060547
137400,-6.2430572509765625
5842,3.0935757160186768
42544,-4.43585729598999
134505,-5.822653293609619
129234,-6.0611348152160645
127719,-5.876731872558594
117719,-5.271492004394531
129642,-5.405987739562988
138994,-3.199655532836914
25447,-5.592398643493652
132641,-6.123289108276367
39896,-6.021310806274414
141657,-5.321991920471191
52261,-6.063558578491211
74826,-5.969113349914551
99602,-5.971041679382324
16072,5.137749671936035
127458,-6.009814262390137
52,-5.940555572509766
104899,-6.290491580963135
7882,3.163319826126098
128249,-5.964654922485352
24344,-6.304921627044678
40804,-6.252823829650879
138754,-5.12145471572876
101807,-6.101710319519043
86167,-6.070782661437988
113641,-6.151468276977539
86005,-5.661718368530273
102559,-5.704657554626465
94928,-5.973797798156738
61262,-5.513828277587891
106453,6.102806091308594
56646,-2.191891670227051
131643,-5.469171524047852
79140,-6.075517654418945
78124,-6.240954875946045
23560,-6.165720939636231
140572,-5.742683410644531
18584,-0.8737212419509888
715,-0.4334149360656738
32425,-4.261933326721191
46054,-5.701251983642578
58836,5.088918209075928
24500,-6.235333442687988
121067,-6.174711227416992
18231,-0.7071457505226135
128964,-2.521044969558716
36438,-6.120944023132324
64545,-6.027685642242432
616,-6.036961555480957
107840,-6.302882194519043
138655,-6.322746276855469
17902,-5.030170917510986
136397,-3.899750232696533
39181,-3.197425603866577
77131,-4.944140434265137
96591,-5.009509086608887
41861,-6.007835865020752
114055,-6.264848709106445
82319,-6.034873962402344
89409,-6.0530548095703125
56368,-6.109582424163818
23097,0.6113554835319519
7628,-0.952061653137207
123132,-6.147295951843262
144303,-5.913914203643799
10446,-3.381227970123291
15874,-0.6112570762634277
97327,-6.218029975891113
106653,-6.003007888793945
121022,-2.4505319595336914
17919,-5.894362449645996
41099,-6.197864532470703
122136,-6.105656623840332
41152,-5.292844772338867
73391,-5.860951900482178
86312,-5.829316139221191
59989,-3.178223133087158
40401,-0.1231928318738937
126687,-5.890642166137695
56395,-1.1642463207244873
112933,-2.343684673309326
28009,-6.087603569030762
100131,5.832026481628418
14142,-0.8495601415634155
97453,-0.1129760295152664
65641,2.9807488918304443
124218,5.910565376281738
